product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
Tai nghe Bluetooth True Wireless Rezo Air,620000,890000,30,123,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-tws-rezo-air,Headphone,Rezo
Tai nghe Bluetooth True Wireless Rezo HT03 ANC,830000,1390000,40,64,,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-rezo-ht03,Headphone,Rezo
Tai nghe Bluetooth True Wireless Rezo F15,790000,790000,0,248,,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-rezo-f15,Headphone,Rezo
Tai nghe Bluetooth True Wireless Rezo QT13,665000,950000,30,127,,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-rezo-qt13,Headphone,Rezo
Tai nghe Bluetooth True Wireless Rezo T206,625000,1250000,50,106,,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-rezo-t206-xam-den,Headphone,Rezo
Tai nghe Bluetooth Chụp Tai Kanen K6,600000,600000,0,161,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-kanen-k6-xam-gold,Headphone,Kanen
Tai nghe Bluetooth Chụp Tai Kanen K9,250000,500000,50,76,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-kanen-k9,Headphone,Kanen
Tai nghe Bluetooth Chụp Tai Kanen K6,600000,600000,0,173,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-kanen-k6,Headphone,Kanen
Tai nghe Chụp Tai Kanen IP-2090,210000,350000,40,133,,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-kanen-ip-2090,Headphone,Kanen
Tai nghe Chụp Tai Kanen IP-952,210000,350000,40,111,,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-kanen-ip-952,Headphone,Kanen
Tai nghe Bluetooth 1 Bên Roman R553X,90000,300000,70,67,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-roman-r553x-den,Headphone,Roman
Tai nghe Bluetooth 1 Bên Roman Q5C,90000,300000,70,64,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-roman-q5c-den,Headphone,Roman
Tai nghe Bluetooth Roman S205,350000,350000,0,33,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-roman-s205-xanh,Headphone,Roman
Tai nghe Bluetooth 1 Bên Roman R553N,300000,300000,0,67,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-roman-r553n-den,Headphone,Roman
Tai nghe Chụp Tai Gaming MozardX G1,590000,590000,0,32,,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-gaming-mozardx-g1-den,Headphone,Mozardx
Tai nghe Bluetooth True Wireless Rapoo I300,890000,890000,0,8,,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-rapoo-i300-trang,Headphone,Rapoo
Tai nghe Bluetooth True Wireless Rapoo I100,420000,700000,40,9,,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-rapoo-i100-den,Headphone,Rapoo
Tai nghe Chụp Tai Gaming Rapoo VH500 7.1,800000,800000,0,15,,https://www.thegioididong.com/tai-nghe/tai-nghe-gaming-rapoo-vh500-71-den,Headphone,Rapoo
Tai nghe Bluetooth True Wireless Belkin Soundform Move PAC001,1300000,1300000,0,12,,https://www.thegioididong.com/tai-nghe/belkin-soundform-move-pac001-den,Headphone,Belkin
Tai nghe Bluetooth True Wireless Belkin Soundform AUC001,1790000,1790000,0,69,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-tws-belkin-soundform-auc001,Headphone,Belkin
Tai nghe Bluetooth True Wireless Jabra Elite 2,1480000,1850000,20,14,,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-jabra-elite-2-den,Headphone,Jabra
Tai nghe Bluetooth True Wireless Jabra Elite 85T,3590000,5990000,40,7,,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-jabra-elite-85t-d,Headphone,Jabra
Tai Nghe Bluetooth True Wireless Anker SoundCore Liberty 2 Pro A3909,3500000,3500000,0,16,,https://www.thegioididong.com/tai-nghe/tai-nghe-true-wireless-anker-liberty-2-pro-a3909,Headphone,Anker
